   Current data set:
   NAME =	hazh37	EXPNO =	20	PROCNO = 1
   DU   =	//fs.univie.ac.at/homedirs/zhangh94/Desktop/hazh_NMR

   Number   Integrated Region     Integral
     1      9.013      8.868         0.98660
     2      7.452      7.141         7.66595
     3      6.955      6.837         2.00059
     4      5.490      5.394         1.00000
     5      3.985      3.854         2.03517
     6      3.854      3.764         1.03168
     7      3.750      3.667         1.01701
     8      3.550      3.412         2.12221
     9      3.246      3.108         1.03220
    10      3.059      2.908         1.06134
    11      2.279      2.017         4.14787
