   Current data set:
   NAME =	hazh55	EXPNO =	10	PROCNO = 1
   DU   =	//fs.univie.ac.at/homedirs/zhangh94/Desktop/hazh_NMR

   Number   Integrated Region     Integral
     1      9.047      8.917         0.96626
     2      7.410      7.349         1.06584
     3      7.349      7.280         1.23948
     4      7.280      7.215         1.84105
     5      7.202      7.124         1.36981
     6      6.903      6.830         2.16147
     7      6.830      6.747         2.09385
     8      5.413      5.335         1.00000
     9      3.967      3.837         2.53446
    10      3.841      3.802         0.79901
    11      3.802      3.763         3.66311
    12      3.763      3.698         1.30522
    13      3.590      3.491         2.24605
    14      3.222      3.114         1.12188
    15      3.032      2.945         1.12001
    16      2.252      2.066         5.71269
