   Current data set:
   NAME =	hazh54	EXPNO =	20	PROCNO = 1
   DU   =	//fs.univie.ac.at/homedirs/zhangh94/Desktop/hazh_NMR

   Number   Integrated Region     Integral
     1      9.051      8.874         1.04055
     2      7.383      7.285         3.22826
     3      7.121      7.065         0.99267
     4      6.920      6.864         2.11744
     5      6.864      6.817         1.08431
     6      6.780      6.728         0.98853
     7      5.426      5.335         1.00000
     8      3.959      3.870         2.08427
     9      3.844      3.818         2.96795
    10      3.817      3.772         1.07154
    11      3.766      3.687         1.09100
    12      3.537      3.392         2.14053
    13      3.207      3.109         1.05581
    14      2.962      2.878         1.03304
    15      2.261      2.066         4.29710
