   Current data set:
   NAME =	hazh47	EXPNO =	20	PROCNO = 1
   DU   =	//fs.univie.ac.at/homedirs/zhangh94/Desktop/hazh_NMR

   Number   Integrated Region     Integral
     1      9.214      9.036         0.93550
     2      7.418      7.308         3.32137
     3      7.257      7.214         0.89956
     4      7.150      7.095         1.03781
     5      6.976      6.917         1.08937
     6      6.917      6.849         2.11735
     7      5.405      5.334         1.00000
     8      3.963      3.866         2.10663
     9      3.866      3.741         2.19651
    10      3.585      3.502         1.07168
    11      3.502      3.422         1.09104
    12      3.212      3.113         1.04230
    13      2.992      2.898         1.09197
    14      2.296      2.079         4.34159
