   Current data set:
   NAME =	mari-0302-carac	EXPNO =	50	PROCNO = 1
   DU   =	//fs.univie.ac.at/homedirs/riometm92/Desktop/mari

   Number   Integrated Region     Integral
     1      9.858      9.598         1.00090
     2      7.403      7.288         6.16614
     3      7.256      7.223         1.07023
     4      7.216      7.160         2.04860
     5      5.187      5.114         1.00000
     6      4.909      4.820         1.00665
     7      4.702      4.618         1.00603
     8      3.863      3.782         3.00368
     9      3.531      3.463         1.00530
    10      2.187      2.026         3.07897
    11      2.008      1.906         1.09843
