   Current data set:
   NAME =	hazh134	EXPNO =	30	PROCNO = 1
   DU   =	//fs.univie.ac.at/homedirs/zhangh94/Desktop/hazh_NMR

   Number   Integrated Region     Integral
     1      7.304      7.263         2.00148
     2      7.250      7.198         1.08271
     3      7.190      7.130         2.10918
     4      7.070      7.007         0.98139
     5      6.864      6.805         1.01271
     6      6.770      6.733         0.97327
     7      6.736      6.665         0.96629
     8      4.800      4.732         1.00000
     9      4.583      4.515         0.98918
    10      4.390      4.314         1.04017
    11      3.851      3.782         2.91835
