   Current data set:
   NAME =	hazh43	EXPNO =	50	PROCNO = 1
   DU   =	//fs.univie.ac.at/homedirs/zhangh94/Desktop/hazh_NMR

   Number   Integrated Region     Integral
     1      8.210      8.094         2.00000
     2      7.548      7.411         2.08373
     3      7.317      7.242         2.21206
     4      7.223      7.126         3.05849
     5      4.477      4.389         1.02820
     6      3.590      3.512         1.06471
     7      3.512      3.439         1.12456
     8      3.439      3.361         1.06157
     9      3.141      3.047         1.05523
    10      2.896      2.748         3.46861
    11      2.702      2.595         1.08341
    12      2.402      2.174         0.98193
    13      1.974      1.880         1.12436
    14      1.872      1.718         3.27299
