10.14469/hpc/10386>	[IFDReference 1 >as>null doi:https://doi.org/10.14469/hpc/10386]	Syntheses and Characterization of Main Group, Transition Metal, Lanthanide and Actinide Complexes of Bidentate Acylpyrazolone Ligands
10.14469/hpc/10386>C>11349>	[IFDReference 2 >as>null doi:https://doi.org/10.14469/hpc/11349]
10.14469/hpc/10386>C>11349>C>11448>	[IFDReference 3 >as>null doi:https://doi.org/10.14469/hpc/11448]
10.14469/hpc/10386>C>11349>C>11448>D>R	[IFDReference 4 >as>21.mol url:https://data.hpc.imperial.ac.uk/resolve/?doi=11448&file=7]
10.14469/hpc/10386>C>11349>C>11448>D>R	[IFDReference 5 >as>21.png url:https://data.hpc.imperial.ac.uk/resolve/?doi=11448&file=6]
10.14469/hpc/10386>C>11349>C>11448>D>R	[IFDReference 6 >as>21.cdxml url:https://data.hpc.imperial.ac.uk/resolve/?doi=11448&file=5]
10.14469/hpc/10386>C>11349>C>11448>D>R	[IFDReference 7 >as>Bis(ethanol) bis(4-benzoyl-1-(4-methoxybenzyl)-1H-pyrazol-5-olate)calcium (21).cdxml url:https://data.hpc.imperial.ac.uk/resolve/?doi=11448&file=2]
10.14469/hpc/10386>C>11349>C>11448>D>R	[IFDReference 8 >as>IR.pdf url:https://data.hpc.imperial.ac.uk/resolve/?doi=11448&file=1]
10.14469/hpc/10386>C>11349>C>11350>	[IFDReference 9 >as>null doi:https://doi.org/10.14469/hpc/11350]
10.14469/hpc/10386>C>11349>C>11350>D>R	[IFDReference 10 >as>21.mol url:https://data.hpc.imperial.ac.uk/resolve/?doi=11350&file=7]
10.14469/hpc/10386>C>11349>C>11350>D>R	[IFDReference 11 >as>21.png url:https://data.hpc.imperial.ac.uk/resolve/?doi=11350&file=6]
10.14469/hpc/10386>C>11349>C>11350>D>R	[IFDReference 12 >as>21.cdxml url:https://data.hpc.imperial.ac.uk/resolve/?doi=11350&file=5]
10.14469/hpc/10386>C>11349>C>11350>D>R	[IFDReference 13 >as>AB2144.tar.gz url:https://data.hpc.imperial.ac.uk/resolve/?doi=11350&file=3]
10.14469/hpc/10386>C>11349>C>11350>D>R	[IFDReference 14 >as>AB2144.7z url:https://data.hpc.imperial.ac.uk/resolve/?doi=11350&file=2]
10.14469/hpc/10386>C>11349>C>11350>D>R	[IFDReference 15 >as>AB2144.cif url:https://data.hpc.imperial.ac.uk/resolve/?doi=11350&file=1]
10.14469/hpc/10386>C>11349>C>11442>	[IFDReference 16 >as>null doi:https://doi.org/10.14469/hpc/11442]
10.14469/hpc/10386>C>11349>C>11442>C>R	[IFDReference 17 >as>21.png url:https://data.hpc.imperial.ac.uk/resolve/?doi=11442&file=2]
10.14469/hpc/10386>C>11349>C>11442>C>11446>	[IFDReference 18 >as>null doi:https://doi.org/10.14469/hpc/11446]	NMR Data for Bis(ethanol) bis(4-benzoyl-1-(4-methoxybenzyl)-1H-pyrazol-5-olate)calcium (21), 1H, COSY
10.14469/hpc/10386>C>11349>C>11442>C>11446>D>R	[IFDReference 19 >as>21.mol url:https://data.hpc.imperial.ac.uk/resolve/?doi=11446&file=9]
10.14469/hpc/10386>C>11349>C>11442>C>11446>D>R	[IFDReference 20 >as>21.png url:https://data.hpc.imperial.ac.uk/resolve/?doi=11446&file=8]
10.14469/hpc/10386>C>11349>C>11442>C>11446>D>R	[IFDReference 21 >as>21.cdxml url:https://data.hpc.imperial.ac.uk/resolve/?doi=11446&file=7]
10.14469/hpc/10386>C>11349>C>11442>C>11446>D>R	[IFDReference 22 >as>Bis(ethanol) bis(4-benzoyl-1-(4-methoxybenzyl)-1H-pyrazol-5-olate)calcium (21).cdxml url:https://data.hpc.imperial.ac.uk/resolve/?doi=11446&file=5]
10.14469/hpc/10386>C>11349>C>11442>C>11446>D>R	[IFDReference 23 >as>21-cosy.jdx url:https://data.hpc.imperial.ac.uk/resolve/?doi=11446&file=4]
10.14469/hpc/10386>C>11349>C>11442>C>11446>D>R	[IFDReference 24 >as>21-cosy.pdf url:https://data.hpc.imperial.ac.uk/resolve/?doi=11446&file=3]
10.14469/hpc/10386>C>11349>C>11442>C>11446>D>R	[IFDReference 25 >as>21-cosy.mnova url:https://data.hpc.imperial.ac.uk/resolve/?doi=11446&file=2]
10.14469/hpc/10386>C>11349>C>11442>C>11446>D>R	[IFDReference 26 >as>21-cosy.zip url:https://data.hpc.imperial.ac.uk/resolve/?doi=11446&file=1]
10.14469/hpc/10386>C>11349>C>11442>C>11447>	[IFDReference 27 >as>null doi:https://doi.org/10.14469/hpc/11447]	NMR Data for Bis(ethanol) bis(4-benzoyl-1-(4-methoxybenzyl)-1H-pyrazol-5-olate)calcium (21), 1H, HSQC
10.14469/hpc/10386>C>11349>C>11442>C>11447>D>R	[IFDReference 28 >as>21.mol url:https://data.hpc.imperial.ac.uk/resolve/?doi=11447&file=9]
10.14469/hpc/10386>C>11349>C>11442>C>11447>D>R	[IFDReference 29 >as>21.png url:https://data.hpc.imperial.ac.uk/resolve/?doi=11447&file=8]
10.14469/hpc/10386>C>11349>C>11442>C>11447>D>R	[IFDReference 30 >as>21.cdxml url:https://data.hpc.imperial.ac.uk/resolve/?doi=11447&file=7]
