*common_name	*InChI	*InChIKey	IUPAC_PIN	(IUPAC PIN note)	"(ISOMERIC SMILES(NCI/CADD, with revisions))"	alternative	Bruker_ID (from TopSpin4.5.0\conf\instr\topshim\solvents)	ChEBI_name	ChEBI_ID	PubChem_name	PubChem_CID	(PubChem Link)
deuterium bromide	InChI=1S/BrH/h1H/i/hD	CPELXLSAUQHCOX-DYCDLGHISA-N	(2H)bromane		[2H]Br	DBr				Deuterium bromide	518779	https://pubchem.ncbi.nlm.nih.gov/compound/518779
decalin-d18	"InChI=1S/C10H8/c1-2-6-10-8-4-3-7-9(10)5-1/h1-8H/i1D,2D,3D,4D,5D,6D,7D,8D"	UFWIBTONFRDIAS-PGRXLJNUSA-N	(2H18)decahydronapthalene		c1([2H])c([2H])c([2H])c([2H])c2c([2H])c([2H])c([2H])c([2H])c12	C10D18				cis-Decahydronaphthalene-d18	2724146	https://pubchem.ncbi.nlm.nih.gov/compound/2724146
"1,1,2,2-tetrachloroethane-d2"	"InChI=1S/C2H2Cl4/c3-1(4)2(5)6/h1-2H/i1D,2D"	QPFMBZIOSGYJDE-QDNHWIQGSA-N	"1,1,2,2-Tetrachloro-(2H2)ethane"		[2H]C(C([2H])(Cl)Cl)(Cl)Cl	C2D2Cl4		"1,1,2,2-tetrachlorethane-d2"	CHEBI:193134	"1,1,2,2-Tetrachloroethane-d2"	118531	https://pubchem.ncbi.nlm.nih.gov/compound/118531
"2,2,2-trifluoroethanol-d2"	"InChI=1S/C2H3F3O/c3-2(4,5)1-6/h6H,1H2/i1D2"	RHQDFWAXVIIEBN-DICFDUPASA-N	"2,2,2-trifluoro-(1-2H2)ethan-1-ol"		[2H]C([2H])(C(F)(F)F)O	C2D2HF3O				"2,2,2-Trifluoroethanol-1,1-d2"	12255976	https://pubchem.ncbi.nlm.nih.gov/compound/12255976
acetonitrile-d3	InChI=1S/C2H3N/c1-2-3/h1H3/i1D3	WEVYAHXRMPXWCK-FIBGUPNXSA-N	(2H3)acetonitrile	certain	C(C#N)([2H])([2H])[2H]	CD3CN	CD3CN	acetonitrile-d3	CHEBI:193038	acetonitrile-d3	123151	https://pubchem.ncbi.nlm.nih.gov/compound/123151
"1,2-dibromoethane-d4"	"InChI=1S/C2H4Br2/c3-1-2-4/h1-2H2/i1D2,2D2"	PAAZPARNPHGIKF-LNLMKGTHSA-N	(2H4)dibromoethane		[2H]C([2H])(C([2H])([2H])Br)Br	C2D4Br2				"1,2-dibromo-(1,1,2,2-2H4)ethane"	123404	https://pubchem.ncbi.nlm.nih.gov/compound/123404
acetic acid-d4	"InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)/i1D3/hD"	QTBSBXVTEAMEQO-GUEYOVJQSA-N	"(2-2H3,O-2H)acetic acid"	Gerry Moss (see Note)	C(C(O[2H])=O)([2H])[2H].[2H]	CD3CO2D	Acetic	acetic acid-d4	CHEBI:193049	(2H3)acetic (2H)acid	2723903	https://pubchem.ncbi.nlm.nih.gov/compound/2723903
ethanol-d6	"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3/i1D3,2D2,3D"	LFQSCWFLJHTTHZ-LIDOUZCJSA-N	"(2H5,O-2H)ethanol"	unsure	C(C(O)([2H])[2H])([2H])[2H].[2H].[2H]	C2D6O	EtOD	ethanol-d6	CHEBI:193043	ethanol-d6	102138	https://pubchem.ncbi.nlm.nih.gov/compound/102138
ethylene glycol-d6	"InChI=1S/C2H6O2/c3-1-2-4/h3-4H,1-2H2/i1D2,2D2,3D,4D"	LYCAIKOWRPUZTN-UFSLNRCZSA-N	"(1,1,2,2-2H4)ethane-1,2-(2H2)diol"		[2H]C([2H])(C([2H])([2H])O[2H])O[2H]	C2D6O2				"(1,1,2,2-2H4)Ethane-1,2-(2H2)diol"	2733139	https://pubchem.ncbi.nlm.nih.gov/compound/2733139
ethylene glycol-d6	"InChI=1S/C2H6O2/c3-1-2-4/h3-4H,1-2H2/i1D2,2D2,3D,4D"	LYCAIKOWRPUZTN-UFSLNRCZSA-N	"(1,1,2,2-2H4)ethane-1,2-(2H2)diol"		[2H]C([2H])(C([2H])([2H])O[2H])O[2H]	C2D4O2D2				"(1,1,2,2-2H4)Ethane-1,2-(2H2)diol"	2733139	https://pubchem.ncbi.nlm.nih.gov/compound/2733139
dimethyl sulfoxide-d6	"InChI=1S/C2H6OS/c1-4(2)3/h1-2H3/i1D3,2D3"	IAZDPXIOMUYVGZ-WFGJKAKNSA-N	((2H3)methanesulfinyl)(2H3)methane	Gerry Moss (see Note)	C([S](C([2H])([2H])[2H])=O)([2H])([2H])[2H]	DMSO-d6	DMSO	dimethyl sulfoxide-d6	CHEBI:193041	DMSO-d6	75151	https://pubchem.ncbi.nlm.nih.gov/compound/75151
dimethyl sulfoxide-d6	"InChI=1S/C2H6OS/c1-4(2)3/h1-2H3/i1D3,2D3"	IAZDPXIOMUYVGZ-WFGJKAKNSA-N	((2H3)methanesulfinyl)(2H3)methane	Gerry Moss (see Note)	C([S](C([2H])([2H])[2H])=O)([2H])([2H])[2H]	C2D6OS		dimethyl sulfoxide-d6	CHEBI:193041	DMSO-d6	75151	https://pubchem.ncbi.nlm.nih.gov/compound/75151
trifluoroacetic acid-d	"InChI=1S/C2HF3O2/c3-2(4,5)1(6)7/h(H,6,7)/i/hD"	DTQVDTLACAAQTR-DYCDLGHISA-N	trifluoro(O-2H)acetic acid	unsure	O(C(=O)C(F)(F)F)[2H]	C2DF3O2	TFA	trifluoroacetic acid-d1	CHEBI:193050	trifluoroacetic acid-d	71502	https://pubchem.ncbi.nlm.nih.gov/compound/71502
"1,1,1,3,3,3-hexafluoroisopropanol-d2"	"InChI=1S/C3H2F6O/c4-2(5,6)1(10)3(7,8)9/h1,10H/i1D,10D"	BYEAHWXPCBROCE-AWPANEGFSA-N	"1,1,1,3,3,3-hexafluoro(2-2H)propan-2-(2H)ol"		[2H]C(C(F)(F)F)(C(F)(F)F)O[2H]	C3D2F6O				"1,1,1,3,3,3-Hexafluoro(2-2H)propan-2-(2H)ol"	2724852	https://pubchem.ncbi.nlm.nih.gov/compound/2724852
acetone-d6	"InChI=1S/C3H6O/c1-3(2)4/h1-2H3/i1D3,2D3"	CSCPPACGZOOCGX-WFGJKAKNSA-N	(2H6)propan-2-one	certain	C(C(C([2H])([2H])[2H])=O)([2H])([2H])[2H]	CD3COCD3	Acetone	acetone d6	CHEBI:78217	acetone-d6	522220	https://pubchem.ncbi.nlm.nih.gov/compound/522220
"N,N-dimethylformamide-d7"	"InChI=1S/C3H7NO/c1-4(2)3-5/h3H,1-2H3/i1D3,2D3,3D"	ZMXDDKWLCZADIW-YYWVXINBSA-N	"N,N-di(2H3)methyl(2H)formamide"	Gerry Moss (see Note)	C(N(C([2H])([2H])[2H])C(=O)[2H])([2H])([2H])[2H]	DMF-d7	DMF	"N,N-dimethylformamide-d7"	CHEBI:193040	"N,N-dimethylformamide-d7"	78225	https://pubchem.ncbi.nlm.nih.gov/compound/78225
