compound,test_folders,useful_files
2r,"['DEPT', '13C', '1H', '19F']","{'13C': ['pdata', 'fid'], '1H': ['pdata', 'fid'], '19F': ['pdata', 'fid'], 'DEPT': ['pdata', 'fid'], 'NA': ['Structure of compound 2r.mol']}"
2u,"['DEPT', '13C', '1H', '19F']","{'13C': ['pdata', 'fid'], '1H': ['pdata', 'fid'], '19F': ['pdata', 'fid'], 'DEPT': ['pdata', 'fid'], 'NA': ['Structure of compound 2u.mol']}"
2g,"['DEPT', '13C', '1H', '19F']","{'13C': ['pdata', 'fid'], '1H': ['pdata', 'fid'], '19F': ['pdata', 'fid'], 'DEPT': ['pdata', 'fid'], 'NA': ['Structure of compound 2g.mol']}"
2i,"['DEPT', '13C', '1H', '19F']","{'NA': ['Structure of compound 2i.mol'], '13C': ['pdata', 'fid'], '1H': ['pdata', 'fid'], '19F': ['pdata', 'fid'], 'DEPT': ['pdata', 'fid']}"
2ac,"['DEPT', '13C', '1H', '19F']","{'13C': ['pdata', 'fid'], '1H': ['pdata', 'fid'], '19F': ['pdata', 'fid'], 'NA': ['Structure of compound 2ac.mol'], 'DEPT': ['pdata', 'fid']}"
2n,"['DEPT', '13C', '1H', '19F']","{'13C': ['pdata', 'fid'], 'NA': ['Structure of compound 2n.mol'], '1H': ['pdata', 'fid'], '19F': ['pdata', 'fid'], 'DEPT': ['pdata', 'fid']}"
2t,"['DEPT', '13C', '1H', '19F']","{'13C': ['pdata', 'fid'], '1H': ['pdata', 'fid'], '19F': ['pdata', 'fid'], 'DEPT': ['pdata', 'fid'], 'NA': ['Structure of compound 2t.mol']}"
2s,"['DEPT', '13C', '1H', '19F']","{'13C': ['pdata', 'fid'], '1H': ['pdata', 'fid'], '19F': ['pdata', 'fid'], 'DEPT': ['pdata', 'fid'], 'NA': ['Structure of compound 2s.mol']}"
2z,"['DEPT', '13C', '1H', '19F']","{'13C': ['pdata', 'fid'], 'NA': ['Structure of compound 2z.mol'], '1H': ['pdata', 'fid'], '19F': ['pdata', 'fid'], 'DEPT': ['pdata', 'fid']}"
2ab,"['DEPT', '13C', '1H', '19F']","{'13C': ['pdata', 'fid'], '1H': ['pdata', 'fid'], '19F': ['pdata', 'fid'], 'NA': ['Structure of compound 2ab.mol'], 'DEPT': ['pdata', 'fid']}"
2o,"['DEPT', '13C', '1H', '19F']","{'13C': ['pdata', 'fid'], 'NA': ['Structure of compound 2o.mol'], '1H': ['pdata', 'fid'], '19F': ['pdata', 'fid'], 'DEPT': ['pdata', 'fid']}"
2h,"['DEPT', '13C', '1H', '19F']","{'NA': ['Structure of compound 2h.mol'], '13C': ['pdata', 'fid'], '1H': ['pdata', 'fid'], '19F': ['pdata', 'fid'], 'DEPT': ['pdata', 'fid']}"
2a,"['DEPT', '13C', '1H', '19F']","{'13C': ['pdata', 'fid'], '1H': ['pdata', 'fid'], '19F': ['pdata', 'fid'], 'DEPT': ['pdata', 'fid'], 'NA': ['Structure of compound 2a.mol']}"
2f,"['DEPT', '13C', '1H', '19F']","{'13C': ['pdata', 'fid'], '1H': ['pdata', 'fid'], '19F': ['pdata', 'fid'], 'DEPT': ['pdata', 'fid'], 'NA': ['Structure of compound 2f.mol']}"
2i + 2i',"['DEPT', '13C', '1H', '19F']","{'NA': [""Structure of compounds 2i+2i'.mol""], '13C': ['pdata', 'fid'], '1H': ['pdata', 'fid'], '19F': ['pdata', 'fid'], 'DEPT': ['pdata', 'fid']}"
2i',"['DEPT', '13C', '1H', '19F']","{'13C': ['pdata', 'fid'], 'NA': [""Structure of compound 2i'.mol""], '1H': ['pdata', 'fid'], '19F': ['pdata', 'fid'], 'DEPT': ['pdata', 'fid']}"
