path_text,predicted_compound,confidence,source,ml_top_candidates,structural_candidate
.. / test2 / 1a-1B / 1 A,1 A,0.775826670502198,ML+PATH,"[('1 A', 0.775826670502198), ('1 B', 0.020148320505639195), ('1a-1B', 0.004794770109826048), ('1b', 0.004426245004152342), ('1a', 0.0037474101076305976)]",{}
.. / test2 / 1a-1B / 1 A / 1A 13C NMR.mnova,1 A,0.6,STRUCTURE_NO_PDATA,"[('1 A', 0.8287855414609094), ('1a', 0.018952675994344848), ('1 B', 0.007604282273867358), ('1a-1B', 0.0032686571050690692), ('1b', 0.003074777707428296)]",{}
.. / test2 / 1a-1B / 1 A / 1A 1H NMR.mnova,1 A,0.6,STRUCTURE_NO_PDATA,"[('1 A', 0.830369083644549), ('1a', 0.01857836928573422), ('1 B', 0.007496513703113057), ('1a-1B', 0.004244394786832598), ('1b', 0.003037891609312808)]",{}
.. / test2 / 1a-1B / 1 A / 1A 1H NMR,1 A,0.6,STRUCTURE_NO_PDATA,"[('1 A', 0.9039661654994322), ('1a', 0.012572987765999915), ('1 B', 0.004730176518074988), ('1a-1B', 0.002466061894724183), ('1b', 0.0016876697039194257)]",{}
.. / test2 / 1a-1B / 1 A / 1A 1H NMR / 4,1 A,0.6,STRUCTURE_NO_PDATA,"[('1 A', 0.9055861572624699), ('1a', 0.009714818669484862), ('1 B', 0.003856145623198724), ('1a-1B', 0.002219819397452636), ('1b', 0.0015831352805570189)]",{}
.. / test2 / 1a-1B / 1 A / 1A 1H NMR / 4 / uxnmr.par,1 A,0.6,STRUCTURE_NO_PDATA,"[('1 A', 0.8063350634641192), ('1a', 0.016012457266770194), ('1 B', 0.007064087047469544), ('1a-1B', 0.004433829062039784), ('1b', 0.003333326877001376)]",{}
.. / test2 / 1a-1B / 1 A / 1A 1H NMR / 4 / pulseprogram,1 A,0.6,STRUCTURE_NO_PDATA,"[('1 A', 0.8063350634641192), ('1a', 0.016012457266770194), ('1 B', 0.007064087047469544), ('1a-1B', 0.004433829062039784), ('1b', 0.003333326877001376)]",{}
.. / test2 / 1a-1B / 1 A / 1A 1H NMR / 4 / precom.output,1 A,0.6,STRUCTURE_NO_PDATA,"[('1 A', 0.8061505672402305), ('1a', 0.01603037696711868), ('1 B', 0.007073641119429223), ('1a-1B', 0.004441309705230439), ('1b', 0.0033386006030325264)]",{}
.. / test2 / 1a-1B / 1 A / 1A 1H NMR / 4 / format.temp,1 A,0.6,STRUCTURE_NO_PDATA,"[('1 A', 0.8063350634641192), ('1a', 0.016012457266770194), ('1 B', 0.007064087047469544), ('1a-1B', 0.004433829062039784), ('1b', 0.003333326877001376)]",{}
.. / test2 / 1a-1B / 1 A / 1A 1H NMR / 4 / audita.txt,1 A,0.6,STRUCTURE_NO_PDATA,"[('1 A', 0.8063350634641192), ('1a', 0.016012457266770194), ('1 B', 0.007064087047469544), ('1a-1B', 0.004433829062039784), ('1b', 0.003333326877001376)]",{}
.. / test2 / 1a-1B / 1 A / 1A 1H NMR / 4 / pdata,1 A,0.8800371788322799,ML+PATH,"[('1 A', 0.8800371788322799), ('1a', 0.010920553622786395), ('1 B', 0.004487608066289299), ('1a-1B', 0.00275182532245085), ('1b', 0.0019948537125287257)]","{'..': -6, 'test2': -5, '1a-1B': -4, '1 A': -3, '1A 1H NMR': -2, '4': -1, 'pdata': 0}"
.. / test2 / 1a-1B / 1 A / 1A 1H NMR / 4 / pdata / 1,1 A,0.8702777894288449,ML+PATH,"[('1 A', 0.8702777894288449), ('1a', 0.011092861109015306), ('1 B', 0.0054114931195501864), ('1a-1B', 0.002965613399189786), ('1b', 0.0021442150670002214)]","{'..': -6, 'test2': -5, '1a-1B': -4, '1 A': -3, '1A 1H NMR': -2, '4': -1, 'pdata': 0, '1': 1}"
.. / test2 / 1a-1B / 1 A / 1A 1H NMR / 4 / pdata / 1 / proc,1 A,0.8124872941733441,ML+PATH,"[('1 A', 0.8124872941733441), ('1a', 0.014557253648564446), ('1 B', 0.0073761153444177234), ('1a-1B', 0.004259021114870947), ('1b', 0.003159133504235692)]","{'..': -6, 'test2': -5, '1a-1B': -4, '1 A': -3, '1A 1H NMR': -2, '4': -1, 'pdata': 0, '1': 1, 'proc': 2}"
.. / test2 / 1a-1B / 1 A / 1A 1H NMR / 4 / pdata / 1 / title,1 A,0.8124872941733441,ML+PATH,"[('1 A', 0.8124872941733441), ('1a', 0.014557253648564446), ('1 B', 0.0073761153444177234), ('1a-1B', 0.004259021114870947), ('1b', 0.003159133504235692)]","{'..': -6, 'test2': -5, '1a-1B': -4, '1 A': -3, '1A 1H NMR': -2, '4': -1, 'pdata': 0, '1': 1, 'title': 2}"
.. / test2 / 1a-1B / 1 A / 1A 1H NMR / 4 / pdata / 1 / auditp.txt,1 A,0.8123491726793503,ML+PATH,"[('1 A', 0.8123491726793503), ('1a', 0.014574574097304218), ('1 B', 0.007386165334496901), ('1a-1B', 0.004266352711181681), ('1b', 0.003164179196654769)]","{'..': -6, 'test2': -5, '1a-1B': -4, '1 A': -3, '1A 1H NMR': -2, '4': -1, 'pdata': 0, '1': 1, 'auditp.txt': 2}"
.. / test2 / 1a-1B / 1 A / 1A 1H NMR / 4 / pdata / 1 / 1r,1 A,0.8065638246565237,ML+PATH,"[('1 A', 0.8065638246565237), ('1r', 0.018106731612578475), ('1a', 0.01418819847266261), ('1 B', 0.00717355902821952), ('1a-1B', 0.004113113854024314)]","{'..': -6, 'test2': -5, '1a-1B': -4, '1 A': -3, '1A 1H NMR': -2, '4': -1, 'pdata': 0, '1': 1, '1r': 2}"
.. / test2 / 1a-1B / 1 A / 1A 1H NMR / 4 / pdata / 1 / 1i,1 A,0.8118016436756315,ML+PATH,"[('1 A', 0.8118016436756315), ('1a', 0.014184099249363353), ('1i', 0.010215006898283962), ('1 B', 0.007171544511882136), ('1a-1B', 0.004113138365230305)]","{'..': -6, 'test2': -5, '1a-1B': -4, '1 A': -3, '1A 1H NMR': -2, '4': -1, 'pdata': 0, '1': 1, '1i': 2}"
.. / test2 / 1a-1B / 1 A / 1A 1H NMR / 4 / pdata / 1 / procs,1 A,0.8124872941733441,ML+PATH,"[('1 A', 0.8124872941733441), ('1a', 0.014557253648564446), ('1 B', 0.0073761153444177234), ('1a-1B', 0.004259021114870947), ('1b', 0.003159133504235692)]","{'..': -6, 'test2': -5, '1a-1B': -4, '1 A': -3, '1A 1H NMR': -2, '4': -1, 'pdata': 0, '1': 1, 'procs': 2}"
.. / test2 / 1a-1B / 1 A / 1A 1H NMR / 4 / pdata / 1 / outd,1 A,0.8124872941733441,ML+PATH,"[('1 A', 0.8124872941733441), ('1a', 0.014557253648564446), ('1 B', 0.0073761153444177234), ('1a-1B', 0.004259021114870947), ('1b', 0.003159133504235692)]","{'..': -6, 'test2': -5, '1a-1B': -4, '1 A': -3, '1A 1H NMR': -2, '4': -1, 'pdata': 0, '1': 1, 'outd': 2}"
.. / test2 / 1a-1B / 1 A / 1A 1H NMR / 4 / pdata / 1 / thumb.png,1 A,0.8124872941733441,ML+PATH,"[('1 A', 0.8124872941733441), ('1a', 0.014557253648564446), ('1 B', 0.0073761153444177234), ('1a-1B', 0.004259021114870947), ('1b', 0.003159133504235692)]","{'..': -6, 'test2': -5, '1a-1B': -4, '1 A': -3, '1A 1H NMR': -2, '4': -1, 'pdata': 0, '1': 1, 'thumb.png': 2}"
.. / test2 / 1a-1B / 1 A / 1A 1H NMR / 4 / fq1list,1 A,0.6,STRUCTURE_NO_PDATA,"[('1 A', 0.8060482014773045), ('1a', 0.016038794151741503), ('1 B', 0.007078095926117017), ('1a-1B', 0.00444456552957918), ('1l', 0.0034869150918001514)]",{}
.. / test2 / 1a-1B / 1 A / 1A 1H NMR / 4 / fid,1 A,0.6,STRUCTURE_NO_PDATA,"[('1 A', 0.8063350634641192), ('1a', 0.016012457266770194), ('1 B', 0.007064087047469544), ('1a-1B', 0.004433829062039784), ('1b', 0.003333326877001376)]",{}
.. / test2 / 1a-1B / 1 A / 1A 1H NMR / 4 / shimvalues,1 A,0.6,STRUCTURE_NO_PDATA,"[('1 A', 0.8063350634641192), ('1a', 0.016012457266770194), ('1 B', 0.007064087047469544), ('1a-1B', 0.004433829062039784), ('1b', 0.003333326877001376)]",{}
.. / test2 / 1a-1B / 1 A / 1A 1H NMR / 4 / uxnmr.info,1 A,0.6,STRUCTURE_NO_PDATA,"[('1 A', 0.8063350634641192), ('1a', 0.016012457266770194), ('1 B', 0.007064087047469544), ('1a-1B', 0.004433829062039784), ('1b', 0.003333326877001376)]",{}
.. / test2 / 1a-1B / 1 A / 1A 1H NMR / 4 / scon2,1 A,0.6,STRUCTURE_NO_PDATA,"[('1 A', 0.8063350634641192), ('1a', 0.016012457266770194), ('1 B', 0.007064087047469544), ('1a-1B', 0.004433829062039784), ('1b', 0.003333326877001376)]",{}
.. / test2 / 1a-1B / 1 A / 1A 1H NMR / 4 / vtc_pid_settings,1 A,0.6,STRUCTURE_NO_PDATA,"[('1 A', 0.7857771270456312), ('1a', 0.017363299280824963), ('1 B', 0.007849565890222954), ('1a-1B', 0.004995379412015336), ('1b', 0.0036499355867340784)]",{}
.. / test2 / 1a-1B / 1 A / 1A 1H NMR / 4 / acqu,1 A,0.6,STRUCTURE_NO_PDATA,"[('1 A', 0.8063350634641192), ('1a', 0.016012457266770194), ('1 B', 0.007064087047469544), ('1a-1B', 0.004433829062039784), ('1b', 0.003333326877001376)]",{}
.. / test2 / 1a-1B / 1 A / 1A 1H NMR / 4 / acqus,1 A,0.6,STRUCTURE_NO_PDATA,"[('1 A', 0.8063350634641192), ('1a', 0.016012457266770194), ('1 B', 0.007064087047469544), ('1a-1B', 0.004433829062039784), ('1b', 0.003333326877001376)]",{}
.. / test2 / 1a-1B / 1 A / 1A 1H NMR / 4 / specpar,1 A,0.6,STRUCTURE_NO_PDATA,"[('1 A', 0.8063350634641192), ('1a', 0.016012457266770194), ('1 B', 0.007064087047469544), ('1a-1B', 0.004433829062039784), ('1b', 0.003333326877001376)]",{}
.. / test2 / 1a-1B / 1 A / 1A 13C NMR,1 A,0.6,STRUCTURE_NO_PDATA,"[('1 A', 0.9028768346923632), ('1a', 0.012889909605860037), ('1 B', 0.004820907546451047), ('1a-1B', 0.0018968378279337092), ('1b', 0.0017104973054280976)]",{}
.. / test2 / 1a-1B / 1 A / 1A 13C NMR / 5,1 A,0.6,STRUCTURE_NO_PDATA,"[('1 A', 0.9113644805263538), ('1a', 0.00907493205514595), ('1 B', 0.003807173385052168), ('1a-1B', 0.0016799304515408271), ('1b', 0.0015484192497486086)]",{}
.. / test2 / 1a-1B / 1 A / 1A 13C NMR / 5 / uxnmr.par,1 A,0.6,STRUCTURE_NO_PDATA,"[('1 A', 0.8088145240070395), ('1a', 0.015587292251576203), ('1 B', 0.007259877212304074), ('1a-1B', 0.0036464784054737417), ('1b', 0.0034195134806387726)]",{}
.. / test2 / 1a-1B / 1 A / 1A 13C NMR / 5 / pulseprogram,1 A,0.6,STRUCTURE_NO_PDATA,"[('1 A', 0.8088145240070395), ('1a', 0.015587292251576203), ('1 B', 0.007259877212304074), ('1a-1B', 0.0036464784054737417), ('1b', 0.0034195134806387726)]",{}
.. / test2 / 1a-1B / 1 A / 1A 13C NMR / 5 / precom.output,1 A,0.6,STRUCTURE_NO_PDATA,"[('1 A', 0.8086334704206651), ('1a', 0.015603443846061191), ('1 B', 0.007268868251793677), ('1a-1B', 0.0036524000034661667), ('1b', 0.003424474662937634)]",{}
.. / test2 / 1a-1B / 1 A / 1A 13C NMR / 5 / format.temp,1 A,0.6,STRUCTURE_NO_PDATA,"[('1 A', 0.8088145240070395), ('1a', 0.015587292251576203), ('1 B', 0.007259877212304074), ('1a-1B', 0.0036464784054737417), ('1b', 0.0034195134806387726)]",{}
.. / test2 / 1a-1B / 1 A / 1A 13C NMR / 5 / audita.txt,1 A,0.6,STRUCTURE_NO_PDATA,"[('1 A', 0.8088145240070395), ('1a', 0.015587292251576203), ('1 B', 0.007259877212304074), ('1a-1B', 0.0036464784054737417), ('1b', 0.0034195134806387726)]",{}
.. / test2 / 1a-1B / 1 A / 1A 13C NMR / 5 / pdata,1 A,0.8841639640966973,ML+PATH,"[('1 A', 0.8841639640966973), ('1a', 0.010438039456776807), ('1 B', 0.004605057023321896), ('1a-1B', 0.00219908098476928), ('1b', 0.00203002303683032)]","{'..': -6, 'test2': -5, '1a-1B': -4, '1 A': -3, '1A 13C NMR': -2, '5': -1, 'pdata': 0}"
.. / test2 / 1a-1B / 1 A / 1A 13C NMR / 5 / pdata / 1,1 A,0.8755195724587881,ML+PATH,"[('1 A', 0.8755195724587881), ('1a', 0.01056805999561669), ('1 B', 0.00548541509503247), ('1a-1B', 0.002367032562934705), ('1b', 0.002162413121298828)]","{'..': -6, 'test2': -5, '1a-1B': -4, '1 A': -3, '1A 13C NMR': -2, '5': -1, 'pdata': 0, '1': 1}"
.. / test2 / 1a-1B / 1 A / 1A 13C NMR / 5 / pdata / 1 / proc,1 A,0.8229748792652465,ML+PATH,"[('1 A', 0.8229748792652465), ('1a', 0.013727766084935054), ('1 B', 0.007351875314148578), ('1a-1B', 0.0033884455553750644), ('1b', 0.0031188385623010977)]","{'..': -6, 'test2': -5, '1a-1B': -4, '1 A': -3, '1A 13C NMR': -2, '5': -1, 'pdata': 0, '1': 1, 'proc': 2}"
